Customer_ID,Month,Customer_Lifetime_Value,Churn_Rate,Net_Promoter_Score,Account_Balance,Age,Gender,City,State
1001,2023-08-01 15:20:42.193901,1360,0.09988304703442025,7,44832,38,Female,Chicago,IL
1002,2023-08-01 15:20:42.193919,966,0.05898770875082141,10,47291,41,Male,Houston,NY
1003,2023-08-01 15:20:42.193922,630,0.020086402204943198,1,2533,81,Male,Los Angeles,TX
1004,2023-08-01 15:20:42.193924,1684,0.1590786990501735,5,6496,66,Female,Chicago,FL
1005,2023-08-01 15:20:42.193926,974,0.30980791841396593,9,18531,77,Male,New York,TX
1006,2023-08-01 15:20:42.193928,1475,0.12405795681084907,2,1999,72,Female,Los Angeles,TX
1007,2023-08-01 15:20:42.193930,1767,0.3002831387424008,2,3656,68,Female,Los Angeles,TX
1008,2023-08-01 15:20:42.193932,1146,0.09355682060677284,6,21877,21,Female,Los Angeles,IL
1009,2023-08-01 15:20:42.193934,1100,0.4831596962065341,1,43101,26,Female,Chicago,CA
1010,2023-08-01 15:20:42.193936,3112,0.123137974554853,6,48655,25,Male,Los Angeles,FL
1011,2023-08-01 15:20:42.193939,4514,0.09494868021880831,0,26631,67,Female,Miami,NY
1012,2023-08-01 15:20:42.193941,4443,0.38012709105564974,5,43673,21,Female,Miami,IL
1013,2023-08-01 15:20:42.193943,2000,0.4850964676046337,9,5775,51,Female,Los Angeles,NY
1014,2023-08-01 15:20:42.193945,4797,0.4484654017095479,7,40497,79,Male,Chicago,FL
1015,2023-08-01 15:20:42.193947,837,0.2744491448706491,7,12285,77,Female,Los Angeles,TX
1016,2023-08-01 15:20:42.193949,879,0.14523959919104626,0,49084,26,Male,Houston,NY
1017,2023-08-01 15:20:42.193951,2527,0.1538092056118387,10,22102,25,Male,Los Angeles,TX
1018,2023-08-01 15:20:42.193953,4974,0.04628187934970428,6,39052,45,Male,Los Angeles,NY
1019,2023-08-01 15:20:42.193955,700,0.3154160821455034,1,23699,40,Female,New York,TX
1020,2023-08-01 15:20:42.193957,4145,0.16933982779310605,2,19215,52,Female,New York,FL
1021,2023-08-01 15:20:42.193960,3190,0.38278467382227976,9,33370,31,Male,Miami,CA
1022,2023-08-01 15:20:42.193962,1370,0.02981245887383136,9,23519,68,Female,Houston,CA
1023,2023-08-01 15:20:42.193968,1363,0.3218411015192524,3,45251,21,Male,Miami,FL
1024,2023-08-01 15:20:42.193970,2257,0.07827241265887908,6,1778,60,Female,New York,FL
1025,2023-08-01 15:20:42.193972,1559,0.4719982495734107,6,10014,45,Male,Los Angeles,NY
1026,2023-08-01 15:20:42.193974,3125,0.31593348358555867,8,44120,23,Female,Miami,IL
1027,2023-08-01 15:20:42.193976,4127,0.21408987445647945,10,18147,79,Male,Miami,NY
1028,2023-08-01 15:20:42.193979,1806,0.2192828164268656,3,9574,44,Male,Houston,FL
1029,2023-08-01 15:20:42.193981,4913,0.11883282713065782,2,13645,61,Male,Miami,TX
1030,2023-08-01 15:20:42.193983,1163,0.4720257549171344,5,30403,69,Female,Miami,FL
1031,2023-08-01 15:20:42.193985,2353,0.4861732205332707,3,17775,56,Male,Los Angeles,NY
1032,2023-08-01 15:20:42.193987,3957,0.3590125890629766,4,20180,73,Female,Chicago,IL
1033,2023-08-01 15:20:42.193989,3652,0.14072269699488965,1,37605,71,Female,Houston,NY
1034,2023-08-01 15:20:42.193991,1354,0.1465367674759396,0,46817,19,Female,Houston,NY
1035,2023-08-01 15:20:42.193993,2207,0.2294137506408149,5,22019,72,Male,Miami,FL
1036,2023-08-01 15:20:42.193995,702,0.1911306834700882,0,25442,55,Male,Chicago,CA
